scenario,replicate,semester,cumulative_k
Small lab,356,2,1.919
Small lab,356,3,2.876
Small lab,357,1,0.938
Small lab,357,2,1.877
Small lab,357,3,2.796
Small lab,358,1,0.917
Small lab,358,2,1.852
Small lab,358,3,2.754
Small lab,359,1,0.901
Small lab,359,2,1.854
Small lab,359,3,2.817
Small lab,360,1,0.974
Small lab,360,2,1.893
Small lab,360,3,2.796
Small lab,361,1,0.928
Small lab,361,2,1.856
Small lab,361,3,2.806
Small lab,362,1,0.958
Small lab,362,2,1.863
Small lab,362,3,2.786
Small lab,363,1,0.939
Small lab,363,2,1.889
Small lab,363,3,2.865
Small lab,364,1,0.916
Small lab,364,2,1.87
Small lab,364,3,2.797
Small lab,365,1,0.936
Small lab,365,2,1.853
Small lab,365,3,2.788
Small lab,366,1,0.954
Small lab,366,2,1.869
Small lab,366,3,2.792
Small lab,367,1,0.944
Small lab,367,2,1.854
Small lab,367,3,2.778
Small lab,368,1,0.966
Small lab,368,2,1.911
Small lab,368,3,2.84
Small lab,369,1,0.899
Small lab,369,2,1.783
Small lab,369,3,2.724
Small lab,370,1,0.928
Small lab,370,2,1.924
Small lab,370,3,2.827
Small lab,371,1,0.947
Small lab,371,2,1.878
Small lab,371,3,2.801
Small lab,372,1,0.896
Small lab,372,2,1.812
Small lab,372,3,2.733
Small lab,373,1,0.937
Small lab,373,2,1.904
Small lab,373,3,2.88
Small lab,374,1,0.982
Small lab,374,2,1.919
Small lab,374,3,2.856
Small lab,375,1,0.978
Small lab,375,2,1.932
Small lab,375,3,2.851
Small lab,376,1,0.933
Small lab,376,2,1.827
Small lab,376,3,2.76
Small lab,377,1,0.928
Small lab,377,2,1.883
Small lab,377,3,2.79
Small lab,378,1,0.923
Small lab,378,2,1.884
Small lab,378,3,2.878
Small lab,379,1,0.943
Small lab,379,2,1.89
Small lab,379,3,2.839
Small lab,380,1,0.908
Small lab,380,2,1.841
Small lab,380,3,2.774
Small lab,381,1,0.923
Small lab,381,2,1.854
Small lab,381,3,2.795
Small lab,382,1,0.905
Small lab,382,2,1.893
Small lab,382,3,2.853
Small lab,383,1,0.953
Small lab,383,2,1.889
Small lab,383,3,2.8
Small lab,384,1,0.89
Small lab,384,2,1.875
Small lab,384,3,2.868
Small lab,385,1,0.975
Small lab,385,2,1.896
Small lab,385,3,2.796
Small lab,386,1,0.957
Small lab,386,2,1.872
Small lab,386,3,2.808
Small lab,387,1,0.964
Small lab,387,2,1.94
Small lab,387,3,2.88
Small lab,388,1,0.955
Small lab,388,2,1.932
Small lab,388,3,2.855
Small lab,389,1,0.942
Small lab,389,2,1.888
Small lab,389,3,2.797
Small lab,390,1,0.99
Small lab,390,2,1.919
Small lab,390,3,2.851
Small lab,391,1,0.997
Small lab,391,2,1.923
Small lab,391,3,2.87
Small lab,392,1,0.945
Small lab,392,2,1.833
Small lab,392,3,2.74
Small lab,393,1,0.94
Small lab,393,2,1.847
Small lab,393,3,2.83
Small lab,394,1,0.925
Small lab,394,2,1.861
Small lab,394,3,2.782
Small lab,395,1,0.951
Small lab,395,2,1.944
Small lab,395,3,2.855
Small lab,396,1,0.889
Small lab,396,2,1.819
Small lab,396,3,2.731
Small lab,397,1,0.9
Small lab,397,2,1.77
Small lab,397,3,2.717
Small lab,398,1,0.953
Small lab,398,2,1.912
Small lab,398,3,2.85
Small lab,399,1,0.925
Small lab,399,2,1.837
Small lab,399,3,2.815
Small lab,400,1,0.933
Small lab,400,2,1.875
Small lab,400,3,2.819
Small lab,401,1,0.94
Small lab,401,2,1.881
Small lab,401,3,2.806
Small lab,402,1,0.936
Small lab,402,2,1.879
Small lab,402,3,2.884
Small lab,403,1,0.927
Small lab,403,2,1.844
Small lab,403,3,2.77
Small lab,404,1,0.891
Small lab,404,2,1.847
Small lab,404,3,2.807
Small lab,405,1,0.934
Small lab,405,2,1.898
Small lab,405,3,2.796
Small lab,406,1,0.879
Small lab,406,2,1.832
Small lab,406,3,2.777
Small lab,407,1,0.93
Small lab,407,2,1.899
Small lab,407,3,2.837
Small lab,408,1,0.973
Small lab,408,2,1.836
Small lab,408,3,2.788
Small lab,409,1,0.929
Small lab,409,2,1.816
Small lab,409,3,2.711
Small lab,410,1,0.957
Small lab,410,2,1.878
Small lab,410,3,2.831
Small lab,411,1,0.877
Small lab,411,2,1.846
Small lab,411,3,2.765
Small lab,412,1,0.898
Small lab,412,2,1.837
Small lab,412,3,2.749
Small lab,413,1,1.005
Small lab,413,2,2.007
Small lab,413,3,2.952
Small lab,414,1,0.941
Small lab,414,2,1.873
Small lab,414,3,2.786
Small lab,415,1,0.957
Small lab,415,2,1.916
Small lab,415,3,2.879
Small lab,416,1,0.981
Small lab,416,2,1.905
Small lab,416,3,2.832
Small lab,417,1,0.917
Small lab,417,2,1.88
Small lab,417,3,2.824
Small lab,418,1,0.922
Small lab,418,2,1.862
Small lab,418,3,2.83
Small lab,419,1,0.981
Small lab,419,2,1.92
Small lab,419,3,2.831
Small lab,420,1,0.913
Small lab,420,2,1.856
Small lab,420,3,2.776
Small lab,421,1,0.963
Small lab,421,2,1.918
Small lab,421,3,2.833
Small lab,422,1,0.924
Small lab,422,2,1.848
Small lab,422,3,2.8
Small lab,423,1,0.904
Small lab,423,2,1.849
Small lab,423,3,2.815
Small lab,424,1,0.94
Small lab,424,2,1.969
Small lab,424,3,2.948
Small lab,425,1,0.925
Small lab,425,2,1.842
Small lab,425,3,2.774
Small lab,426,1,0.958
Small lab,426,2,1.894
Small lab,426,3,2.831
Small lab,427,1,0.906
Small lab,427,2,1.816
Small lab,427,3,2.71
Small lab,428,1,0.927
Small lab,428,2,1.874
Small lab,428,3,2.794
Small lab,429,1,0.925
Small lab,429,2,1.897
Small lab,429,3,2.835
Small lab,430,1,0.928
Small lab,430,2,1.868
Small lab,430,3,2.796
Small lab,431,1,0.933
Small lab,431,2,1.9
Small lab,431,3,2.854
Small lab,432,1,0.979
Small lab,432,2,1.915
Small lab,432,3,2.862
Small lab,433,1,0.989
Small lab,433,2,1.913
Small lab,433,3,2.902
Small lab,434,1,0.898
Small lab,434,2,1.859
Small lab,434,3,2.78
Small lab,435,1,0.874
Small lab,435,2,1.779
Small lab,435,3,2.727
Small lab,436,1,0.983
Small lab,436,2,1.87
Small lab,436,3,2.793
Small lab,437,1,0.956
Small lab,437,2,1.903
Small lab,437,3,2.772
Small lab,438,1,0.923
Small lab,438,2,1.903
Small lab,438,3,2.826
Small lab,439,1,0.951
Small lab,439,2,1.829
Small lab,439,3,2.786
Small lab,440,1,0.952
Small lab,440,2,1.885
Small lab,440,3,2.818
Small lab,441,1,0.925
Small lab,441,2,1.845
Small lab,441,3,2.763
Small lab,442,1,0.951
Small lab,442,2,1.902
Small lab,442,3,2.844
Small lab,443,1,0.94
Small lab,443,2,1.891
Small lab,443,3,2.849
Small lab,444,1,0.893
Small lab,444,2,1.786
Small lab,444,3,2.743
Small lab,445,1,0.905
Small lab,445,2,1.816
Small lab,445,3,2.806
Small lab,446,1,0.95
Small lab,446,2,1.853
Small lab,446,3,2.765
Small lab,447,1,0.966
Small lab,447,2,1.892
Small lab,447,3,2.827
Small lab,448,1,1.015
Small lab,448,2,1.932
Small lab,448,3,2.821
Small lab,449,1,0.897
Small lab,449,2,1.807
Small lab,449,3,2.765
Small lab,450,1,0.936
Small lab,450,2,1.868
Small lab,450,3,2.77
Small lab,451,1,0.931
Small lab,451,2,1.866
Small lab,451,3,2.779
Small lab,452,1,0.924
Small lab,452,2,1.847
Small lab,452,3,2.85
Small lab,453,1,0.956
Small lab,453,2,1.888
Small lab,453,3,2.788
Small lab,454,1,0.943
Small lab,454,2,1.888
Small lab,454,3,2.825
Small lab,455,1,0.895
Small lab,455,2,1.803
Small lab,455,3,2.708
Small lab,456,1,0.943
Small lab,456,2,1.856
Small lab,456,3,2.79
Small lab,457,1,0.979
Small lab,457,2,1.869
Small lab,457,3,2.828
Small lab,458,1,0.938
Small lab,458,2,1.853
Small lab,458,3,2.748
Small lab,459,1,0.869
Small lab,459,2,1.864
Small lab,459,3,2.756
Small lab,460,1,0.992
Small lab,460,2,1.857
Small lab,460,3,2.771
Small lab,461,1,0.908
Small lab,461,2,1.805
Small lab,461,3,2.754
Small lab,462,1,0.966
Small lab,462,2,1.887
Small lab,462,3,2.817
Small lab,463,1,0.927
Small lab,463,2,1.879
Small lab,463,3,2.823
Small lab,464,1,0.906
Small lab,464,2,1.88
Small lab,464,3,2.789
Small lab,465,1,0.939
Small lab,465,2,1.895
Small lab,465,3,2.771
Small lab,466,1,0.916
Small lab,466,2,1.867
Small lab,466,3,2.806
Small lab,467,1,0.901
Small lab,467,2,1.825
Small lab,467,3,2.717
Small lab,468,1,0.939
Small lab,468,2,1.926
Small lab,468,3,2.847
Small lab,469,1,0.97
Small lab,469,2,1.912
Small lab,469,3,2.808
Small lab,470,1,0.888
Small lab,470,2,1.847
Small lab,470,3,2.823
Small lab,471,1,0.904
Small lab,471,2,1.828
Small lab,471,3,2.744
Small lab,472,1,0.958
Small lab,472,2,1.895
Small lab,472,3,2.855
Small lab,473,1,0.913
Small lab,473,2,1.857
Small lab,473,3,2.795
Small lab,474,1,0.957
Small lab,474,2,1.935
Small lab,474,3,2.855
Small lab,475,1,0.934
Small lab,475,2,1.849
Small lab,475,3,2.778
Small lab,476,1,0.984
Small lab,476,2,1.91
Small lab,476,3,2.834
Small lab,477,1,0.891
Small lab,477,2,1.819
Small lab,477,3,2.719
Small lab,478,1,0.904
Small lab,478,2,1.81
Small lab,478,3,2.775
Small lab,479,1,0.908
Small lab,479,2,1.877
Small lab,479,3,2.778
Small lab,480,1,0.91
Small lab,480,2,1.858
Small lab,480,3,2.751
Small lab,481,1,0.887
Small lab,481,2,1.817
Small lab,481,3,2.709
Small lab,482,1,0.935
Small lab,482,2,1.811
Small lab,482,3,2.747
Small lab,483,1,0.991
Small lab,483,2,1.937
Small lab,483,3,2.857
Small lab,484,1,0.975
Small lab,484,2,1.881
Small lab,484,3,2.811
Small lab,485,1,0.976
Small lab,485,2,1.902
Small lab,485,3,2.787
Small lab,486,1,0.906
Small lab,486,2,1.856
Small lab,486,3,2.824
Small lab,487,1,0.958
Small lab,487,2,1.917
Small lab,487,3,2.825
Small lab,488,1,0.945
Small lab,488,2,1.885
Small lab,488,3,2.826
Small lab,489,1,0.973
Small lab,489,2,1.93
Small lab,489,3,2.838
Small lab,490,1,0.937
Small lab,490,2,1.872
Small lab,490,3,2.81
Small lab,491,1,0.908
Small lab,491,2,1.838
Small lab,491,3,2.795
Small lab,492,1,0.913
Small lab,492,2,1.916
Small lab,492,3,2.912
Small lab,493,1,0.929
Small lab,493,2,1.891
Small lab,493,3,2.785
Small lab,494,1,0.904
Small lab,494,2,1.841
Small lab,494,3,2.714
Small lab,495,1,0.967
Small lab,495,2,1.932
Small lab,495,3,2.861
Small lab,496,1,0.909
Small lab,496,2,1.841
Small lab,496,3,2.825
Small lab,497,1,0.978
Small lab,497,2,1.863
Small lab,497,3,2.84
Small lab,498,1,0.987
Small lab,498,2,1.96
Small lab,498,3,2.89
Small lab,499,1,0.972
Small lab,499,2,1.895
Small lab,499,3,2.822
Medium lecture,0,1,1.758
Medium lecture,0,2,3.515
Medium lecture,0,3,5.385
Medium lecture,1,1,1.806
Medium lecture,1,2,3.647
Medium lecture,1,3,5.471
Medium lecture,2,1,1.876
Medium lecture,2,2,3.777
Medium lecture,2,3,5.554
Medium lecture,3,1,1.785
Medium lecture,3,2,3.645
Medium lecture,3,3,5.49
Medium lecture,4,1,1.834
Medium lecture,4,2,3.603
Medium lecture,4,3,5.422
Medium lecture,5,1,1.815
Medium lecture,5,2,3.633
Medium lecture,5,3,5.483
Medium lecture,6,1,1.779
Medium lecture,6,2,3.583
Medium lecture,6,3,5.404
Medium lecture,7,1,1.827
Medium lecture,7,2,3.68
Medium lecture,7,3,5.459
Medium lecture,8,1,1.88
Medium lecture,8,2,3.689
Medium lecture,8,3,5.501
Medium lecture,9,1,1.889
Medium lecture,9,2,3.776
Medium lecture,9,3,5.584
Medium lecture,10,1,1.842
Medium lecture,10,2,3.715
Medium lecture,10,3,5.556
Medium lecture,11,1,1.782
Medium lecture,11,2,3.588
Medium lecture,11,3,5.484
Medium lecture,12,1,1.817
Medium lecture,12,2,3.699
Medium lecture,12,3,5.517
Medium lecture,13,1,1.82
Medium lecture,13,2,3.686
Medium lecture,13,3,5.477
Medium lecture,14,1,1.842
Medium lecture,14,2,3.663
Medium lecture,14,3,5.51
Medium lecture,15,1,1.788
Medium lecture,15,2,3.602
Medium lecture,15,3,5.465
Medium lecture,16,1,1.847
Medium lecture,16,2,3.651
Medium lecture,16,3,5.51
Medium lecture,17,1,1.749
Medium lecture,17,2,3.522
Medium lecture,17,3,5.362
Medium lecture,18,1,1.776
Medium lecture,18,2,3.548
Medium lecture,18,3,5.396
Medium lecture,19,1,1.867
Medium lecture,19,2,3.701
Medium lecture,19,3,5.525
Medium lecture,20,1,1.844
Medium lecture,20,2,3.655
Medium lecture,20,3,5.546
Medium lecture,21,1,1.821
Medium lecture,21,2,3.622
Medium lecture,21,3,5.472
Medium lecture,22,1,1.847
Medium lecture,22,2,3.706
Medium lecture,22,3,5.573
Medium lecture,23,1,1.77
Medium lecture,23,2,3.6
Medium lecture,23,3,5.355
Medium lecture,24,1,1.82
Medium lecture,24,2,3.653
Medium lecture,24,3,5.437
Medium lecture,25,1,1.785
Medium lecture,25,2,3.534
Medium lecture,25,3,5.264
Medium lecture,26,1,1.846
Medium lecture,26,2,3.64
Medium lecture,26,3,5.378
Medium lecture,27,1,1.831
Medium lecture,27,2,3.619
Medium lecture,27,3,5.471
Medium lecture,28,1,1.783
Medium lecture,28,2,3.624
Medium lecture,28,3,5.45
Medium lecture,29,1,1.878
Medium lecture,29,2,3.731
Medium lecture,29,3,5.583
Medium lecture,30,1,1.843
Medium lecture,30,2,3.747
Medium lecture,30,3,5.568
Medium lecture,31,1,1.835
Medium lecture,31,2,3.721
Medium lecture,31,3,5.589
Medium lecture,32,1,1.847
Medium lecture,32,2,3.682
Medium lecture,32,3,5.487
Medium lecture,33,1,1.808
Medium lecture,33,2,3.583
Medium lecture,33,3,5.461
Medium lecture,34,1,1.798
Medium lecture,34,2,3.542
Medium lecture,34,3,5.402
Medium lecture,35,1,1.818
Medium lecture,35,2,3.627
Medium lecture,35,3,5.49
Medium lecture,36,1,1.764
Medium lecture,36,2,3.556
Medium lecture,36,3,5.38
Medium lecture,37,1,1.831
Medium lecture,37,2,3.696
Medium lecture,37,3,5.536
Medium lecture,38,1,1.853
Medium lecture,38,2,3.73
Medium lecture,38,3,5.639
Medium lecture,39,1,1.837
Medium lecture,39,2,3.657
Medium lecture,39,3,5.491
Medium lecture,40,1,1.851
Medium lecture,40,2,3.629
Medium lecture,40,3,5.496
Medium lecture,41,1,1.818
Medium lecture,41,2,3.677
Medium lecture,41,3,5.432
Medium lecture,42,1,1.891
Medium lecture,42,2,3.687
Medium lecture,42,3,5.488
Medium lecture,43,1,1.848
Medium lecture,43,2,3.69
Medium lecture,43,3,5.48
Medium lecture,44,1,1.808
Medium lecture,44,2,3.577
Medium lecture,44,3,5.327
Medium lecture,45,1,1.777
Medium lecture,45,2,3.549
Medium lecture,45,3,5.415
Medium lecture,46,1,1.818
Medium lecture,46,2,3.587
Medium lecture,46,3,5.446
Medium lecture,47,1,1.888
Medium lecture,47,2,3.664
Medium lecture,47,3,5.457
Medium lecture,48,1,1.829
Medium lecture,48,2,3.618
Medium lecture,48,3,5.366
Medium lecture,49,1,1.791
Medium lecture,49,2,3.589
Medium lecture,49,3,5.443
Medium lecture,50,1,1.78
Medium lecture,50,2,3.59
Medium lecture,50,3,5.417
Medium lecture,51,1,1.815
Medium lecture,51,2,3.59
Medium lecture,51,3,5.398
Medium lecture,52,1,1.78
Medium lecture,52,2,3.652
Medium lecture,52,3,5.494
Medium lecture,53,1,1.824
Medium lecture,53,2,3.594
Medium lecture,53,3,5.406
Medium lecture,54,1,1.848
Medium lecture,54,2,3.723
Medium lecture,54,3,5.498
Medium lecture,55,1,1.821
Medium lecture,55,2,3.598
Medium lecture,55,3,5.427
Medium lecture,56,1,1.876
Medium lecture,56,2,3.65
Medium lecture,56,3,5.488
Medium lecture,57,1,1.818
Medium lecture,57,2,3.624
Medium lecture,57,3,5.361
Medium lecture,58,1,1.813
Medium lecture,58,2,3.731
Medium lecture,58,3,5.597
Medium lecture,59,1,1.75
Medium lecture,59,2,3.606
Medium lecture,59,3,5.436
Medium lecture,60,1,1.783
Medium lecture,60,2,3.645
Medium lecture,60,3,5.525
Medium lecture,61,1,1.788
Medium lecture,61,2,3.597
Medium lecture,61,3,5.421
Medium lecture,62,1,1.814
Medium lecture,62,2,3.606
Medium lecture,62,3,5.489
Medium lecture,63,1,1.862
Medium lecture,63,2,3.69
Medium lecture,63,3,5.481
Medium lecture,64,1,1.752
Medium lecture,64,2,3.605
Medium lecture,64,3,5.37
Medium lecture,65,1,1.77
Medium lecture,65,2,3.603
Medium lecture,65,3,5.409
Medium lecture,66,1,1.814
Medium lecture,66,2,3.573
Medium lecture,66,3,5.409
Medium lecture,67,1,1.783
Medium lecture,67,2,3.543
Medium lecture,67,3,5.321
Medium lecture,68,1,1.849
Medium lecture,68,2,3.69
Medium lecture,68,3,5.432
Medium lecture,69,1,1.748
Medium lecture,69,2,3.633
Medium lecture,69,3,5.386
Medium lecture,70,1,1.831
Medium lecture,70,2,3.635
Medium lecture,70,3,5.505
Medium lecture,71,1,1.862
Medium lecture,71,2,3.665
Medium lecture,71,3,5.501
Medium lecture,72,1,1.804
Medium lecture,72,2,3.651
Medium lecture,72,3,5.471
Medium lecture,73,1,1.866
Medium lecture,73,2,3.719
Medium lecture,73,3,5.481
Medium lecture,74,1,1.825
Medium lecture,74,2,3.687
Medium lecture,74,3,5.503
Medium lecture,75,1,1.885
Medium lecture,75,2,3.695
Medium lecture,75,3,5.501
Medium lecture,76,1,1.827
Medium lecture,76,2,3.65
Medium lecture,76,3,5.457
Medium lecture,77,1,1.754
Medium lecture,77,2,3.455
Medium lecture,77,3,5.316
Medium lecture,78,1,1.76
Medium lecture,78,2,3.58
Medium lecture,78,3,5.434
Medium lecture,79,1,1.781
Medium lecture,79,2,3.606
Medium lecture,79,3,5.368
Medium lecture,80,1,1.856
Medium lecture,80,2,3.682
Medium lecture,80,3,5.511
Medium lecture,81,1,1.804
Medium lecture,81,2,3.605
Medium lecture,81,3,5.477
Medium lecture,82,1,1.915
Medium lecture,82,2,3.748
Medium lecture,82,3,5.563
Medium lecture,83,1,1.857
Medium lecture,83,2,3.785
Medium lecture,83,3,5.525
Medium lecture,84,1,1.831
Medium lecture,84,2,3.631
Medium lecture,84,3,5.41
Medium lecture,85,1,1.809
Medium lecture,85,2,3.666
Medium lecture,85,3,5.536
Medium lecture,86,1,1.863
Medium lecture,86,2,3.686
Medium lecture,86,3,5.431
Medium lecture,87,1,1.827
Medium lecture,87,2,3.671
Medium lecture,87,3,5.461
Medium lecture,88,1,1.877
Medium lecture,88,2,3.685
Medium lecture,88,3,5.6
Medium lecture,89,1,1.772
Medium lecture,89,2,3.567
Medium lecture,89,3,5.335
Medium lecture,90,1,1.774
Medium lecture,90,2,3.594
Medium lecture,90,3,5.463
Medium lecture,91,1,1.737
Medium lecture,91,2,3.564
Medium lecture,91,3,5.45
Medium lecture,92,1,1.791
Medium lecture,92,2,3.582
Medium lecture,92,3,5.388
Medium lecture,93,1,1.795
Medium lecture,93,2,3.552
Medium lecture,93,3,5.373
Medium lecture,94,1,1.825
Medium lecture,94,2,3.658
Medium lecture,94,3,5.406
Medium lecture,95,1,1.726
Medium lecture,95,2,3.511
Medium lecture,95,3,5.449
Medium lecture,96,1,1.885
Medium lecture,96,2,3.682
Medium lecture,96,3,5.505
Medium lecture,97,1,1.795
Medium lecture,97,2,3.673
Medium lecture,97,3,5.491
Medium lecture,98,1,1.857
Medium lecture,98,2,3.683
Medium lecture,98,3,5.505
Medium lecture,99,1,1.816
Medium lecture,99,2,3.622
Medium lecture,99,3,5.592
Medium lecture,100,1,1.805
Medium lecture,100,2,3.619
Medium lecture,100,3,5.434
Medium lecture,101,1,1.876
Medium lecture,101,2,3.646
Medium lecture,101,3,5.47
Medium lecture,102,1,1.876
Medium lecture,102,2,3.809
Medium lecture,102,3,5.646
Medium lecture,103,1,1.802
Medium lecture,103,2,3.545
Medium lecture,103,3,5.38
Medium lecture,104,1,1.731
Medium lecture,104,2,3.532
Medium lecture,104,3,5.335
Medium lecture,105,1,1.797
Medium lecture,105,2,3.643
Medium lecture,105,3,5.461
Medium lecture,106,1,1.81
Medium lecture,106,2,3.603
Medium lecture,106,3,5.411
Medium lecture,107,1,1.8
Medium lecture,107,2,3.626
Medium lecture,107,3,5.415
Medium lecture,108,1,1.743
Medium lecture,108,2,3.551
Medium lecture,108,3,5.398
Medium lecture,109,1,1.775
Medium lecture,109,2,3.529
Medium lecture,109,3,5.333
Medium lecture,110,1,1.836
Medium lecture,110,2,3.64
Medium lecture,110,3,5.46
Medium lecture,111,1,1.832
Medium lecture,111,2,3.702
Medium lecture,111,3,5.477
Medium lecture,112,1,1.791
Medium lecture,112,2,3.633
Medium lecture,112,3,5.463
Medium lecture,113,1,1.828
Medium lecture,113,2,3.625
Medium lecture,113,3,5.531
Medium lecture,114,1,1.854
Medium lecture,114,2,3.636
Medium lecture,114,3,5.41
Medium lecture,115,1,1.87
Medium lecture,115,2,3.75
Medium lecture,115,3,5.566
Medium lecture,116,1,1.839
Medium lecture,116,2,3.667
Medium lecture,116,3,5.498
Medium lecture,117,1,1.761
Medium lecture,117,2,3.555
Medium lecture,117,3,5.406
Medium lecture,118,1,1.79
Medium lecture,118,2,3.644
Medium lecture,118,3,5.421
Medium lecture,119,1,1.859
Medium lecture,119,2,3.687
Medium lecture,119,3,5.499
Medium lecture,120,1,1.78
Medium lecture,120,2,3.702
Medium lecture,120,3,5.563
Medium lecture,121,1,1.815
Medium lecture,121,2,3.634
Medium lecture,121,3,5.489
Medium lecture,122,1,1.795
Medium lecture,122,2,3.604
Medium lecture,122,3,5.489
Medium lecture,123,1,1.724
Medium lecture,123,2,3.547
Medium lecture,123,3,5.375
Medium lecture,124,1,1.775
Medium lecture,124,2,3.697
Medium lecture,124,3,5.506
Medium lecture,125,1,1.86
Medium lecture,125,2,3.617
Medium lecture,125,3,5.457
Medium lecture,126,1,1.826
Medium lecture,126,2,3.695
Medium lecture,126,3,5.501
Medium lecture,127,1,1.828
Medium lecture,127,2,3.677
Medium lecture,127,3,5.544
Medium lecture,128,1,1.836
Medium lecture,128,2,3.668
Medium lecture,128,3,5.551
Medium lecture,129,1,1.858
Medium lecture,129,2,3.738
Medium lecture,129,3,5.484
Medium lecture,130,1,1.813
Medium lecture,130,2,3.59
Medium lecture,130,3,5.355
Medium lecture,131,1,1.879
Medium lecture,131,2,3.64
Medium lecture,131,3,5.456
Medium lecture,132,1,1.819
Medium lecture,132,2,3.647
Medium lecture,132,3,5.449
Medium lecture,133,1,1.828
Medium lecture,133,2,3.637
Medium lecture,133,3,5.446
Medium lecture,134,1,1.872
Medium lecture,134,2,3.684
Medium lecture,134,3,5.449
Medium lecture,135,1,1.79
Medium lecture,135,2,3.598
Medium lecture,135,3,5.451
Medium lecture,136,1,1.915
Medium lecture,136,2,3.714
Medium lecture,136,3,5.562
Medium lecture,137,1,1.839
Medium lecture,137,2,3.661
Medium lecture,137,3,5.473
Medium lecture,138,1,1.831
Medium lecture,138,2,3.678
Medium lecture,138,3,5.534
Medium lecture,139,1,1.779
Medium lecture,139,2,3.578
Medium lecture,139,3,5.435
Medium lecture,140,1,1.818
Medium lecture,140,2,3.653
Medium lecture,140,3,5.558
Medium lecture,141,1,1.825
Medium lecture,141,2,3.693
Medium lecture,141,3,5.468
Medium lecture,142,1,1.864
Medium lecture,142,2,3.734
Medium lecture,142,3,5.545
Medium lecture,143,1,1.817
Medium lecture,143,2,3.649
Medium lecture,143,3,5.465
Medium lecture,144,1,1.892
Medium lecture,144,2,3.721
Medium lecture,144,3,5.47
Medium lecture,145,1,1.795
Medium lecture,145,2,3.634
Medium lecture,145,3,5.387
Medium lecture,146,1,1.898
Medium lecture,146,2,3.709
Medium lecture,146,3,5.563
Medium lecture,147,1,1.757
Medium lecture,147,2,3.525
Medium lecture,147,3,5.303
Medium lecture,148,1,1.849
Medium lecture,148,2,3.606
Medium lecture,148,3,5.467
Medium lecture,149,1,1.884
Medium lecture,149,2,3.653
Medium lecture,149,3,5.471
Medium lecture,150,1,1.788
Medium lecture,150,2,3.629
Medium lecture,150,3,5.428
Medium lecture,151,1,1.811
Medium lecture,151,2,3.641
Medium lecture,151,3,5.566
Medium lecture,152,1,1.786
Medium lecture,152,2,3.658
Medium lecture,152,3,5.52
Medium lecture,153,1,1.837
Medium lecture,153,2,3.653
Medium lecture,153,3,5.539
Medium lecture,154,1,1.793
Medium lecture,154,2,3.636
Medium lecture,154,3,5.402
Medium lecture,155,1,1.81
Medium lecture,155,2,3.663
Medium lecture,155,3,5.548
Medium lecture,156,1,1.883
Medium lecture,156,2,3.784
Medium lecture,156,3,5.645
Medium lecture,157,1,1.827
Medium lecture,157,2,3.671
Medium lecture,157,3,5.483
Medium lecture,158,1,1.727
Medium lecture,158,2,3.677
Medium lecture,158,3,5.575
Medium lecture,159,1,1.765
Medium lecture,159,2,3.681
Medium lecture,159,3,5.464
Medium lecture,160,1,1.774
Medium lecture,160,2,3.597
Medium lecture,160,3,5.459
Medium lecture,161,1,1.866
Medium lecture,161,2,3.669
Medium lecture,161,3,5.495
Medium lecture,162,1,1.759
Medium lecture,162,2,3.612
Medium lecture,162,3,5.353
Medium lecture,163,1,1.78
Medium lecture,163,2,3.605
Medium lecture,163,3,5.403
Medium lecture,164,1,1.939
Medium lecture,164,2,3.74
Medium lecture,164,3,5.573
Medium lecture,165,1,1.796
Medium lecture,165,2,3.62
Medium lecture,165,3,5.458
Medium lecture,166,1,1.825
Medium lecture,166,2,3.608
Medium lecture,166,3,5.454
Medium lecture,167,1,1.842
Medium lecture,167,2,3.693
Medium lecture,167,3,5.492
Medium lecture,168,1,1.827
Medium lecture,168,2,3.583
Medium lecture,168,3,5.401
Medium lecture,169,1,1.73
Medium lecture,169,2,3.602
Medium lecture,169,3,5.45
Medium lecture,170,1,1.82
Medium lecture,170,2,3.688
Medium lecture,170,3,5.573
Medium lecture,171,1,1.799
Medium lecture,171,2,3.628
Medium lecture,171,3,5.469
Medium lecture,172,1,1.807
Medium lecture,172,2,3.55
Medium lecture,172,3,5.337
Medium lecture,173,1,1.764
Medium lecture,173,2,3.603
Medium lecture,173,3,5.475
Medium lecture,174,1,1.83
Medium lecture,174,2,3.685
Medium lecture,174,3,5.418
Medium lecture,175,1,1.8
Medium lecture,175,2,3.571
Medium lecture,175,3,5.324
Medium lecture,176,1,1.897
Medium lecture,176,2,3.667
Medium lecture,176,3,5.442
Medium lecture,177,1,1.829
Medium lecture,177,2,3.646
Medium lecture,177,3,5.452
Medium lecture,178,1,1.745
Medium lecture,178,2,3.561
Medium lecture,178,3,5.337
Medium lecture,179,1,1.899
Medium lecture,179,2,3.71
Medium lecture,179,3,5.582
Medium lecture,180,1,1.856
Medium lecture,180,2,3.685
Medium lecture,180,3,5.543
Medium lecture,181,1,1.84
Medium lecture,181,2,3.633
Medium lecture,181,3,5.519
Medium lecture,182,1,1.772
Medium lecture,182,2,3.604
Medium lecture,182,3,5.494
Medium lecture,183,1,1.775
Medium lecture,183,2,3.619
Medium lecture,183,3,5.418
Medium lecture,184,1,1.836
Medium lecture,184,2,3.577
Medium lecture,184,3,5.421
Medium lecture,185,1,1.813
Medium lecture,185,2,3.697
Medium lecture,185,3,5.524
