scenario,replicate,semester,cumulative_k
Small lab,71,2,1.919
Small lab,71,3,2.845
Small lab,72,1,0.948
Small lab,72,2,1.895
Small lab,72,3,2.881
Small lab,73,1,0.927
Small lab,73,2,1.903
Small lab,73,3,2.854
Small lab,74,1,0.93
Small lab,74,2,1.886
Small lab,74,3,2.824
Small lab,75,1,0.915
Small lab,75,2,1.845
Small lab,75,3,2.784
Small lab,76,1,1.009
Small lab,76,2,1.929
Small lab,76,3,2.864
Small lab,77,1,0.959
Small lab,77,2,1.923
Small lab,77,3,2.793
Small lab,78,1,0.947
Small lab,78,2,1.837
Small lab,78,3,2.805
Small lab,79,1,0.933
Small lab,79,2,1.828
Small lab,79,3,2.788
Small lab,80,1,0.922
Small lab,80,2,1.861
Small lab,80,3,2.829
Small lab,81,1,0.905
Small lab,81,2,1.818
Small lab,81,3,2.726
Small lab,82,1,0.962
Small lab,82,2,1.884
Small lab,82,3,2.808
Small lab,83,1,0.929
Small lab,83,2,1.853
Small lab,83,3,2.764
Small lab,84,1,0.957
Small lab,84,2,1.9
Small lab,84,3,2.827
Small lab,85,1,0.93
Small lab,85,2,1.869
Small lab,85,3,2.806
Small lab,86,1,0.935
Small lab,86,2,1.932
Small lab,86,3,2.821
Small lab,87,1,0.876
Small lab,87,2,1.779
Small lab,87,3,2.742
Small lab,88,1,0.944
Small lab,88,2,1.868
Small lab,88,3,2.754
Small lab,89,1,0.934
Small lab,89,2,1.877
Small lab,89,3,2.774
Small lab,90,1,0.935
Small lab,90,2,1.862
Small lab,90,3,2.748
Small lab,91,1,1.029
Small lab,91,2,1.924
Small lab,91,3,2.824
Small lab,92,1,0.925
Small lab,92,2,1.84
Small lab,92,3,2.771
Small lab,93,1,0.972
Small lab,93,2,1.908
Small lab,93,3,2.829
Small lab,94,1,0.964
Small lab,94,2,1.856
Small lab,94,3,2.796
Small lab,95,1,0.963
Small lab,95,2,1.844
Small lab,95,3,2.789
Small lab,96,1,0.964
Small lab,96,2,1.927
Small lab,96,3,2.87
Small lab,97,1,0.898
Small lab,97,2,1.859
Small lab,97,3,2.821
Small lab,98,1,0.954
Small lab,98,2,1.93
Small lab,98,3,2.852
Small lab,99,1,0.947
Small lab,99,2,1.915
Small lab,99,3,2.861
Small lab,100,1,0.93
Small lab,100,2,1.94
Small lab,100,3,2.92
Small lab,101,1,0.942
Small lab,101,2,1.854
Small lab,101,3,2.765
Small lab,102,1,0.905
Small lab,102,2,1.866
Small lab,102,3,2.806
Small lab,103,1,0.941
Small lab,103,2,1.861
Small lab,103,3,2.796
Small lab,104,1,0.953
Small lab,104,2,1.843
Small lab,104,3,2.801
Small lab,105,1,0.948
Small lab,105,2,1.859
Small lab,105,3,2.811
Small lab,106,1,0.954
Small lab,106,2,1.894
Small lab,106,3,2.818
Small lab,107,1,0.92
Small lab,107,2,1.861
Small lab,107,3,2.793
Small lab,108,1,0.944
Small lab,108,2,1.872
Small lab,108,3,2.866
Small lab,109,1,0.987
Small lab,109,2,1.931
Small lab,109,3,2.835
Small lab,110,1,0.938
Small lab,110,2,1.903
Small lab,110,3,2.862
Small lab,111,1,0.895
Small lab,111,2,1.848
Small lab,111,3,2.763
Small lab,112,1,1.008
Small lab,112,2,1.927
Small lab,112,3,2.85
Small lab,113,1,0.928
Small lab,113,2,1.849
Small lab,113,3,2.795
Small lab,114,1,0.993
